,id,tweet,fecha_hora
135,1520074553594200065,aplaudo a la niñez que se apropia de su futuro  cada día es mayor su interés en participar en las decisiones que impactan su proyecto de vida  _ya  compromisoconlaniñezya ,2022-04-29 16:16:29+00:00
136,1520044706784239618,seguimos trabajando sin descanso y concentrados en la meta  de bogotá salimos para iniciar la vuelta al caribe que iniciamos en valledupar y riohacha  colombiacambiará ,2022-04-29 14:17:53+00:00
137,1519844560616185861,_ant    💪,2022-04-29 01:02:35+00:00
138,1519819125438271490,la corrupción en planes de alimentación escolar (pae) es una vergüenza nacional que  además de la sanción social  merece lucha frontal por parte del estado  vamos a derrotar estos clanes corruptos y los alimentos se distribuirán a tiempo  sin robos y serán de excelente calidad ,2022-04-28 23:21:31+00:00
139,1519819123529814016,impulsaremos decididamente la producción de alimentos en colombia de muy buena calidad  tenemos las condiciones para lograrlo  apoyaremos producción nacional de insumos agropecuarios y mejoraremos tasas de interés de los créditos ,2022-04-28 23:21:30+00:00
140,1519819122087022594,vamos a ajustar los subsidios a las familias más pobres con base en el aumento de la inflación (ingreso solidario  familias en acción  jóvenes en acción  colombia mayor  devolución iva)  llevaremos el apoyo de colombia mayor a $500 mil para todos los adultos mayores sin pensión ,2022-04-28 23:21:30+00:00
141,1519819120715444226,tenemos un panorama alarmante: 4 de cada 10 hogares están en la pobreza y 1 de cada 3 familias solo come dos comidas diarias  el precio de los alimentos no para de subir y a las personas sus ingresos ya no les alcanza ,2022-04-28 23:21:29+00:00
142,1519819116307222530,colombia tiene hambre  así no es posible la paz y es imposible aprender o reconciliarnos  la correcta alimentación es el derecho básico para una vida plena y para la igualdad   nos cuenta cómo llevaremos a que colombia sea un país sin hambre  loprogramáespolí ,2022-04-28 23:21:28+00:00
143,1519815579787358208,se cayó whatsapp pero nunca esta campaña 💪  únanse a nuestro canal de telegram 👉  🏃🏃‍♀️ ,2022-04-28 23:07:25+00:00
144,1519785148392390658,,2022-04-28 21:06:30+00:00
145,1519770380692504581,tenemos el mejor equipo y estamos listos para gobernar  gracias a los más de 300 académicos  escritores  artistas  columnistas y líderes de opinión que nos acompañan y apoyan  colombiacambiará ,2022-04-28 20:07:49+00:00
146,1519740965208080384,nuestra reforma tributaria planea recaudar 33 billones de pesos  no vamos a tocar a la clase media  son los más ricos quienes deben pagar más  al mismo tiempo combatiremos con lupa la elusión y evasión de impuestos   ,2022-04-28 18:10:56+00:00
